# Train        Test        
    0.101500     0.174000 
    0.165000     0.242500 
    0.232500     0.268500 
    0.409000     0.457000 
    0.596500     0.513500 
    0.682500     0.620000 
    0.756500     0.706000 
    0.803000     0.731500 
    0.840000     0.252000 
    0.894000     0.832000 
    0.919000     0.834000 
    0.916500     0.867500 
    0.917000     0.909500 
    0.957000     0.918000 
    0.964000     0.892500 
    0.974000     0.885000 
    0.977500     0.905000 
    0.988000     0.882500 
    0.986500     0.916000 
    0.991500     0.877000 
    0.989500     0.831500 
    0.988500     0.897000 
    0.992500     0.902500 
    0.994000     0.891500 
    0.991000     0.905000 
    0.998500     0.913500 
    0.996500     0.894000 
    0.996500     0.904000 
    0.997500     0.904000 
    0.997000     0.907000 
    0.998500     0.931000 
    0.998500     0.902500 
    0.997500     0.882000 
    0.998500     0.907500 
    0.999500     0.906000 
    0.999000     0.946500 
    0.999000     0.902000 
    0.999500     0.915000 
    0.999500     0.935500 
    0.999500     0.923500 
    0.999500     0.906500 
    1.000000     0.946500 
    0.999500     0.938500 
    0.999500     0.936500 
    0.998000     0.904000 
    0.999500     0.907000 
    1.000000     0.951000 
    0.999000     0.946000 
    0.999500     0.947500 
    0.998500     0.939000 
