# Train        Test        
    0.465732     0.425540 
    0.426964     0.408469 
    0.408585     0.407526 
    0.357975     0.358721 
    0.303889     0.321840 
    0.266472     0.283544 
    0.233780     0.250484 
    0.208594     0.227006 
    0.179838     0.448944 
    0.155117     0.182334 
    0.135451     0.165779 
    0.129438     0.151554 
    0.121809     0.148071 
    0.095101     0.119002 
    0.081908     0.123333 
    0.069494     0.111428 
    0.059149     0.116821 
    0.051736     0.132754 
    0.046725     0.096417 
    0.043046     0.105564 
    0.038868     0.150570 
    0.039742     0.086086 
    0.032427     0.079191 
    0.029578     0.088279 
    0.027906     0.086265 
    0.025738     0.071690 
    0.022173     0.083540 
    0.022741     0.086975 
    0.020795     0.077735 
    0.018752     0.076631 
    0.018589     0.064122 
    0.017191     0.074586 
    0.017139     0.103292 
    0.015485     0.071975 
    0.014210     0.075019 
    0.014412     0.052227 
    0.013974     0.074737 
    0.013315     0.071442 
    0.014086     0.060744 
    0.012004     0.059382 
    0.011335     0.075503 
    0.011646     0.060788 
    0.011492     0.063101 
    0.010374     0.059468 
    0.011521     0.073954 
    0.010058     0.067819 
    0.009973     0.058471 
    0.009441     0.063488 
    0.008972     0.051803 
    0.010525     0.056820 
